,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
59,hermanus,68.0,ZA,1551922280.0,94.0,-34.42,19.24,64.0,1.01
60,atuona,88.0,PF,1551923044.0,99.0,-9.8,-139.03,82.84,17.49
61,sur,0.0,OM,1551923045.0,100.0,22.57,59.53,68.75,7.2
63,erenhot,0.0,CN,1551923045.0,27.0,43.65,111.97,33.74,6.42
64,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
65,qaanaaq,64.0,GL,1551923039.0,91.0,77.48,-69.36,-2.08,3.51
66,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
67,diego de almagro,24.0,CL,1551923046.0,86.0,-26.39,-70.05,61.6,2.39
68,lensk,20.0,RU,1551923046.0,66.0,60.71,114.91,21.73,6.42
69,constitucion,75.0,MX,1551922817.0,9.0,23.99,-104.67,75.2,10.29
70,billings,90.0,US,1551922805.0,85.0,45.79,-108.5,12.99,11.41
71,pandan,20.0,PH,1551923047.0,99.0,11.72,122.09,79.69,18.05
72,zavodouspenskoye,20.0,RU,1551920400.0,80.0,56.86,65.02,33.8,11.18
73,khatanga,56.0,RU,1551923047.0,77.0,71.98,102.47,-0.78,12.01
74,kahului,75.0,US,1551922575.0,64.0,20.89,-156.47,75.99,19.46
75,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
76,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
77,cherskiy,24.0,RU,1551923048.0,65.0,68.75,161.3,-0.51,2.39
78,arraial do cabo,24.0,BR,1551923027.0,88.0,-22.97,-42.02,80.59,12.8
80,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
81,port alfred,36.0,ZA,1551922937.0,87.0,-33.59,26.89,71.01,5.99
82,thompson,20.0,CA,1551920400.0,60.0,55.74,-97.86,5.0,6.93
83,longyan,100.0,CN,1551923052.0,99.0,25.1,117.03,54.35,2.17
84,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
85,puerto escondido,40.0,MX,1551919200.0,74.0,15.86,-97.07,82.4,10.67
87,barrow,90.0,US,1551923045.0,70.0,39.51,-90.4,32.0,4.7
88,arantangi,0.0,IN,1551923053.0,90.0,10.17,78.99,82.84,5.75
89,port hedland,0.0,AU,1551920400.0,32.0,-20.31,118.58,98.6,12.75
90,peterhead,92.0,GB,1551923043.0,100.0,57.51,-1.8,44.01,8.05
91,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
92,necochea,0.0,AR,1551922689.0,79.0,-38.55,-58.74,77.0,3.0
93,atuona,88.0,PF,1551923044.0,99.0,-9.8,-139.03,82.84,17.49
94,mandalgovi,0.0,MN,1551923055.0,84.0,45.76,106.27,28.39,5.19
95,vestmannaeyjar,0.0,IS,1551923055.0,100.0,63.44,-20.27,23.98,14.25
97,bambous virieux,40.0,MU,1551922744.0,83.0,-20.34,57.76,77.0,5.19
98,arraial do cabo,24.0,BR,1551923027.0,88.0,-22.97,-42.02,80.59,12.8
99,ribeira grande,88.0,PT,1551923056.0,95.0,38.52,-28.7,62.0,19.62
100,general roca,75.0,AR,1551920400.0,31.0,-39.03,-67.58,73.4,17.22
101,naze,40.0,JP,1551920400.0,52.0,28.37,129.48,64.4,19.46
102,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
103,yakeshi,0.0,CN,1551923056.0,42.0,49.28,120.73,31.49,6.64
104,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
105,hilo,90.0,US,1551922947.0,64.0,19.71,-155.08,73.4,8.05
106,necochea,0.0,AR,1551922689.0,79.0,-38.55,-58.74,77.0,3.0
107,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
108,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
109,hofn,92.0,IS,1551922761.0,100.0,64.25,-15.21,35.14,19.39
110,nome,40.0,US,1551923058.0,57.0,30.04,-94.42,53.01,5.82
111,stornoway,75.0,GB,1551922982.0,81.0,58.21,-6.39,44.6,23.04
113,sooke,40.0,CA,1551923054.0,97.0,48.37,-123.73,39.0,3.29
114,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
115,bethel,90.0,US,1551920160.0,86.0,60.79,-161.76,32.0,6.93
117,upernavik,0.0,GL,1551923040.0,100.0,72.79,-56.15,3.46,19.51
118,ponta do sol,40.0,PT,1551922868.0,59.0,32.67,-17.1,60.8,5.82
119,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
120,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
121,espinosa,64.0,BR,1551923061.0,85.0,-14.92,-42.81,71.27,8.77
122,ewa beach,75.0,US,1551922541.0,93.0,21.32,-158.01,77.0,14.7
123,moa,0.0,CU,1551923061.0,81.0,20.66,-74.95,69.79,4.97
124,piopio,76.0,NZ,1551922804.0,28.0,-38.47,175.01,82.99,7.0
125,atuona,88.0,PF,1551923044.0,99.0,-9.8,-139.03,82.84,17.49
126,killybegs,92.0,IE,1551922923.0,83.0,54.63,-8.45,42.01,4.0
127,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
128,ribeira grande,88.0,PT,1551923056.0,95.0,38.52,-28.7,62.0,19.62
129,victoria,75.0,SC,1551920400.0,78.0,-4.62,55.45,82.4,8.05
130,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
132,hirara,75.0,JP,1551920400.0,72.0,24.8,125.28,64.4,13.87
136,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
137,kampene,76.0,CD,1551923064.0,97.0,-3.59,26.67,67.72,2.73
138,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
139,nikolskoye,0.0,RU,1551922210.0,62.0,59.7,30.79,21.2,6.71
140,biu,0.0,NG,1551923068.0,24.0,10.61,12.19,71.41,9.66
141,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
142,torbay,90.0,CA,1551923012.0,100.0,47.66,-52.73,24.01,9.17
143,saint george,40.0,BM,1551922771.0,63.0,32.38,-64.68,62.6,25.28
145,georgetown,64.0,SH,1551923031.0,100.0,-7.93,-14.42,81.4,7.76
146,tiksi,68.0,RU,1551923069.0,79.0,71.64,128.87,11.69,3.4
147,castro,75.0,CL,1551920400.0,82.0,-42.48,-73.76,55.4,4.7
148,liverpool,32.0,CA,1551922925.0,92.0,44.04,-64.71,14.0,4.0
150,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
151,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
152,hohhot,0.0,CN,1551920400.0,28.0,40.81,111.65,28.4,4.47
153,constitucion,12.0,CL,1551923070.0,93.0,-35.33,-72.42,55.12,2.73
155,mahebourg,40.0,MU,1551922744.0,83.0,-20.41,57.7,77.0,5.19
156,sur,0.0,OM,1551923045.0,100.0,22.57,59.53,68.75,7.2
157,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
158,barrow,90.0,US,1551923045.0,70.0,39.51,-90.4,32.0,4.7
159,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
160,upernavik,0.0,GL,1551923040.0,100.0,72.79,-56.15,3.46,19.51
161,bardiyah,0.0,LY,1551923072.0,99.0,31.76,25.09,54.13,1.95
162,liverpool,32.0,CA,1551922925.0,92.0,44.04,-64.71,14.0,4.0
163,saldanha,92.0,ZA,1551920400.0,82.0,-33.01,17.94,60.8,1.12
164,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
165,riverton,90.0,US,1551922320.0,63.0,43.02,-108.38,32.0,8.05
166,ancud,75.0,CL,1551920400.0,82.0,-41.87,-73.83,55.4,4.7
167,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
168,sonari,75.0,IN,1551920400.0,87.0,27.03,95.02,60.8,4.7
169,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
170,calvia,0.0,ES,1551922975.0,55.0,39.57,2.51,61.0,12.75
172,puerto ayora,0.0,EC,1551923074.0,98.0,-0.74,-90.35,80.99,9.44
175,belmonte,8.0,BR,1551922924.0,99.0,-26.84,-53.58,69.01,5.75
176,lebu,92.0,CL,1551922986.0,88.0,-37.62,-73.65,60.16,18.5
178,port alfred,36.0,ZA,1551922937.0,87.0,-33.59,26.89,71.01,5.99
179,provideniya,0.0,RU,1551920400.0,57.0,64.42,-173.23,23.0,2.24
180,new norfolk,40.0,AU,1551922994.0,42.0,-42.78,147.06,64.0,12.75
181,nome,40.0,US,1551923058.0,57.0,30.04,-94.42,53.01,5.82
182,poso,48.0,ID,1551923076.0,100.0,-1.4,120.75,79.19,6.08
183,atuona,88.0,PF,1551923044.0,99.0,-9.8,-139.03,82.84,17.49
185,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
186,chokurdakh,0.0,RU,1551923077.0,65.0,70.62,147.9,-8.7,3.96
187,atuona,88.0,PF,1551923044.0,99.0,-9.8,-139.03,82.84,17.49
188,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
189,bubaque,0.0,GW,1551923080.0,87.0,11.28,-15.83,79.6,9.78
190,ribeira grande,88.0,PT,1551923056.0,95.0,38.52,-28.7,62.0,19.62
191,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
192,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
193,ponta do sol,40.0,PT,1551922868.0,59.0,32.67,-17.1,60.8,5.82
194,praia da vitoria,20.0,PT,1551922284.0,88.0,38.73,-27.07,62.6,20.74
195,shingu,75.0,JP,1551920400.0,66.0,33.72,135.99,53.6,18.34
196,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
197,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
198,pierre,90.0,US,1551922967.0,78.0,44.37,-100.35,12.2,8.05
199,vardo,76.0,NO,1551923082.0,100.0,70.37,31.11,27.49,29.91
200,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
201,west lake stevens,90.0,US,1551923072.0,86.0,48.0,-122.1,36.0,1.61
202,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
203,vestmanna,44.0,FO,1551921600.0,100.0,62.16,-7.17,32.0,3.36
204,mehran,0.0,IR,1551920400.0,86.0,33.12,46.17,33.8,4.7
205,khatanga,56.0,RU,1551923047.0,77.0,71.98,102.47,-0.78,12.01
207,hearst,56.0,CA,1551923084.0,73.0,49.69,-83.67,-0.01,3.85
208,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
209,samarai,32.0,PG,1551923084.0,100.0,-10.62,150.67,83.15,4.41
210,batemans bay,0.0,AU,1551923068.0,48.0,-35.71,150.18,66.0,4.0
211,port antonio,20.0,JM,1551920400.0,54.0,18.18,-76.45,80.6,9.17
212,ribeira grande,88.0,PT,1551923056.0,95.0,38.52,-28.7,62.0,19.62
213,kodiak,1.0,US,1551923023.0,67.0,39.95,-94.76,32.0,4.7
214,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
215,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
217,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
218,murgab,8.0,TM,1551920400.0,93.0,37.5,61.97,42.8,4.7
220,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
221,luderitz,0.0,NA,1551923087.0,92.0,-26.65,15.16,59.39,11.45
223,katsuura,40.0,JP,1551921883.0,66.0,33.93,134.5,53.6,16.11
224,ukiah,90.0,US,1551922852.0,71.0,39.15,-123.21,54.0,6.93
225,pevek,80.0,RU,1551923039.0,93.0,69.7,170.27,3.01,2.62
226,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
227,la cruz,76.0,MX,1551922836.0,86.0,23.92,-106.89,68.0,2.39
228,dasoguz,0.0,TM,1551920400.0,69.0,41.84,59.97,35.6,9.17
229,qaanaaq,64.0,GL,1551923039.0,91.0,77.48,-69.36,-2.08,3.51
230,richards bay,0.0,ZA,1551923089.0,93.0,-28.77,32.06,72.35,10.0
231,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
232,quang ngai,0.0,VN,1551923089.0,58.0,15.12,108.8,88.64,3.06
233,rawson,20.0,AR,1551921600.0,27.0,-43.3,-65.11,77.0,9.17
234,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
235,lagoa,0.0,PT,1551922931.0,87.0,37.14,-8.45,52.0,2.24
236,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
238,akureyri,90.0,IS,1551920400.0,92.0,65.68,-18.09,26.6,6.93
240,saskylakh,64.0,RU,1551923091.0,78.0,71.97,114.09,-4.38,14.7
241,bubaque,0.0,GW,1551923080.0,87.0,11.28,-15.83,79.6,9.78
242,mayumba,64.0,GA,1551923091.0,100.0,-3.44,10.65,77.75,3.62
243,afsin,48.0,TR,1551923092.0,89.0,38.25,36.91,28.03,4.41
244,saint-augustin,20.0,CA,1551922966.0,60.0,45.63,-73.98,12.2,2.24
245,iqaluit,40.0,CA,1551922961.0,62.0,63.75,-68.52,-16.01,25.28
246,vilhena,0.0,BR,1551923095.0,92.0,-12.74,-60.15,72.8,1.95
247,bredasdorp,56.0,ZA,1551922280.0,87.0,-34.53,20.04,60.8,6.93
248,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
249,ilheus,40.0,BR,1551920400.0,79.0,-14.79,-39.05,84.2,6.93
251,mahebourg,40.0,MU,1551922744.0,83.0,-20.41,57.7,77.0,5.19
252,smithers,75.0,CA,1551920400.0,42.0,54.78,-127.17,26.6,2.24
253,nouadhibou,0.0,MR,1551920400.0,82.0,20.93,-17.03,62.6,21.92
254,buala,56.0,SB,1551923099.0,80.0,-8.15,159.59,86.17,6.2
255,souillac,40.0,MU,1551923044.0,83.0,-20.52,57.52,77.0,5.19
258,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
259,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
260,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
261,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
263,mar del plata,92.0,AR,1551923100.0,92.0,-46.43,-67.52,52.69,11.9
264,yellowknife,5.0,CA,1551922964.0,78.0,62.45,-114.38,10.99,8.05
265,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
266,california city,40.0,US,1551923086.0,76.0,35.13,-117.99,57.2,17.22
268,wattegama,0.0,LK,1551923101.0,88.0,7.35,80.68,76.22,3.74
269,sechura,80.0,PE,1551923102.0,76.0,-5.56,-80.82,78.16,7.76
270,dunedin,80.0,NZ,1551923065.0,47.0,-45.87,170.5,73.03,16.82
271,pisco,75.0,PE,1551920400.0,100.0,-13.71,-76.2,73.4,5.82
272,talnakh,64.0,RU,1551922826.0,81.0,69.49,88.39,3.1,22.86
273,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
275,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
276,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
277,bethel,90.0,US,1551920160.0,86.0,60.79,-161.76,32.0,6.93
279,henties bay,48.0,NA,1551920584.0,91.0,-22.12,14.28,64.99,3.0
280,kloulklubed,75.0,PW,1551919800.0,78.0,7.04,134.26,82.4,14.99
281,itarema,64.0,BR,1551923104.0,97.0,-2.92,-39.92,74.11,5.08
282,bambous virieux,40.0,MU,1551922744.0,83.0,-20.34,57.76,77.0,5.19
283,surgut,90.0,RU,1551920400.0,100.0,61.25,73.4,28.4,13.42
284,cherskiy,24.0,RU,1551923048.0,65.0,68.75,161.3,-0.51,2.39
285,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
286,kalmunai,24.0,LK,1551923109.0,92.0,7.42,81.82,80.05,4.41
288,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
290,jeremie,0.0,HT,1551923109.0,90.0,18.65,-74.12,78.02,15.7
291,bluff,92.0,NZ,1551922806.0,92.0,-46.6,168.33,55.0,14.0
292,lorengau,8.0,PG,1551923110.0,100.0,-2.02,147.27,82.7,0.6
293,puerto ayora,0.0,EC,1551923074.0,98.0,-0.74,-90.35,80.99,9.44
294,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
295,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
296,tucupita,0.0,VE,1551923110.0,68.0,9.06,-62.05,78.29,8.88
297,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
298,albany,75.0,AU,1551921480.0,100.0,-35.02,117.88,64.4,4.7
299,katsuura,40.0,JP,1551921883.0,66.0,33.93,134.5,53.6,16.11
300,taoudenni,0.0,ML,1551923111.0,29.0,22.68,-3.98,49.63,2.84
302,yellowknife,5.0,CA,1551922964.0,78.0,62.45,-114.38,10.99,8.05
304,santa isabel do rio negro,8.0,BR,1551923112.0,72.0,-0.41,-65.02,82.34,6.31
305,ushuaia,90.0,AR,1551920400.0,99.0,-54.81,-68.31,41.0,33.33
306,hermanus,68.0,ZA,1551922280.0,94.0,-34.42,19.24,64.0,1.01
307,san patricio,5.0,MX,1551919200.0,73.0,19.22,-104.7,77.0,9.17
308,provideniya,0.0,RU,1551920400.0,57.0,64.42,-173.23,23.0,2.24
309,kamenka,0.0,RU,1551923113.0,71.0,53.19,44.05,6.16,6.64
310,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
311,vaini,40.0,TO,1551920400.0,79.0,-21.2,-175.2,86.0,9.17
312,butaritari,64.0,KI,1551923070.0,100.0,3.07,172.79,79.87,11.79
313,victoria,75.0,SC,1551920400.0,78.0,-4.62,55.45,82.4,8.05
314,pospelikha,8.0,RU,1551923113.0,78.0,51.99,81.83,8.68,7.2
315,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
316,dakar,0.0,SN,1551920400.0,77.0,14.69,-17.45,64.4,20.8
317,east london,0.0,ZA,1551923114.0,100.0,-33.02,27.91,75.37,23.2
318,batagay-alyta,0.0,RU,1551923114.0,78.0,67.8,130.41,2.2,4.07
319,hualmay,56.0,PE,1551923115.0,91.0,-11.1,-77.61,68.53,4.18
321,dikson,48.0,RU,1551923115.0,89.0,73.51,80.55,1.25,26.78
322,qaanaaq,64.0,GL,1551923039.0,91.0,77.48,-69.36,-2.08,3.51
323,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
325,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
326,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
327,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
328,wloszczowa,8.0,PL,1551923109.0,61.0,50.85,19.97,41.0,4.0
329,ponta do sol,20.0,CV,1551920400.0,68.0,17.2,-25.09,68.0,19.46
330,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
331,ponta do sol,20.0,CV,1551920400.0,68.0,17.2,-25.09,68.0,19.46
332,port lincoln,0.0,AU,1551923117.0,80.0,-34.72,135.86,68.71,11.79
333,sitka,0.0,US,1551923115.0,50.0,37.17,-99.65,43.0,5.01
334,punta arenas,0.0,CL,1551922986.0,100.0,-53.16,-70.91,42.8,13.87
335,cape town,20.0,ZA,1551923021.0,82.0,-33.93,18.42,66.99,4.7
336,isangel,75.0,VU,1551920400.0,74.0,-19.55,169.27,86.0,9.17
337,rikitea,76.0,PF,1551923034.0,100.0,-23.12,-134.97,79.69,18.05
338,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
339,cidreira,24.0,BR,1551923119.0,89.0,-30.17,-50.22,76.09,9.22
340,kaitangata,100.0,NZ,1551923086.0,42.0,-46.28,169.85,71.01,4.0
342,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
343,port lincoln,0.0,AU,1551923117.0,80.0,-34.72,135.86,68.71,11.79
344,medyn,0.0,RU,1551920400.0,92.0,54.97,35.86,5.0,2.24
345,drovyanaya,0.0,RU,1551920400.0,72.0,51.58,113.05,12.2,3.74
346,busselton,92.0,AU,1551922973.0,63.0,-33.64,115.35,72.0,5.97
347,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
348,kannangad,0.0,IN,1551923120.0,95.0,12.31,75.11,77.12,8.77
349,ostrovnoy,32.0,RU,1551923121.0,80.0,68.05,39.51,7.24,17.05
350,jamestown,92.0,SH,1551923031.0,100.0,-15.94,-5.72,75.95,11.79
352,saint-philippe,76.0,RE,1551922860.0,73.0,-21.36,55.77,75.2,5.82
353,kikwit,8.0,CD,1551923121.0,89.0,-5.04,18.82,72.89,2.73
354,kapaa,90.0,US,1551922998.0,60.0,22.08,-159.32,75.2,18.34
355,avarua,88.0,CK,1551920400.0,66.0,-21.21,-159.78,84.2,19.46
356,caxito,20.0,AO,1551920400.0,88.0,-8.58,13.66,78.8,5.82
357,guerrero negro,0.0,MX,1551923039.0,82.0,27.97,-114.04,60.02,5.75
358,kletskaya,56.0,RU,1551922397.0,79.0,49.31,43.06,28.0,5.99
360,chuy,12.0,UY,1551922754.0,92.0,-33.69,-53.46,74.74,11.45
362,hithadhoo,88.0,MV,1551923123.0,100.0,-0.6,73.08,82.84,5.08
363,hobart,40.0,AU,1551922994.0,42.0,-42.88,147.33,64.0,12.75
364,talcahuano,90.0,CL,1551920400.0,87.0,-36.72,-73.12,60.8,9.17
365,berndorf,0.0,AT,1551923110.0,57.0,47.95,16.11,45.0,10.29
366,new norfolk,40.0,AU,1551922994.0,42.0,-42.78,147.06,64.0,12.75
367,tuktoyaktuk,90.0,CA,1551920400.0,77.0,69.44,-133.03,5.0,4.7
368,victoria,75.0,SC,1551920400.0,78.0,-4.62,55.45,82.4,8.05
369,diamantino,24.0,BR,1551923125.0,89.0,-14.4,-56.44,74.6,3.62
370,mar del plata,92.0,AR,1551923100.0,92.0,-46.43,-67.52,52.69,11.9
371,eenhana,88.0,NA,1551920400.0,54.0,-17.48,16.34,78.8,3.36
372,misratah,0.0,LY,1551923125.0,92.0,32.38,15.09,53.68,11.45
